image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall,split
GPAB5311_jpg.rf.411f63a94d59592bc074a6196bacf1d0.jpg,lcc,105030,228476,94622,0.2453238283877719,0.3939920248781787,0.3149268678824369,0.5260653537154649,train
GPAB5334_jpg.rf.e95df04308622776ed1b1ed4b88ef51f.jpg,lcc,272984,78652,87328,0.6218824322723504,0.7668649957581172,0.776325518433835,0.7576322742512045,train
GPAB5336_jpg.rf.6cbd3774005119fe947d59c92202676a.jpg,lcc,77776,157911,5404,0.32260018001501506,0.48782721322683126,0.3299969875300717,0.9350324597258957,train
GPAB5348_jpg.rf.8ba371da13fb1ea879c422e3e3ba2cce.jpg,lcc,356404,97680,31001,0.7347248420379934,0.8470794032958244,0.7848856158772386,0.9199778010092797,train
GPAB5349_jpg.rf.1ee7632cec92426ad67645eedadd0f50.jpg,lcc,320808,135069,112518,0.5644103132504684,0.7215630176686314,0.7037161339571858,0.7403386826546295,train
GPAB5420_jpg.rf.1a7945f6c17694f7cf560b2e8231a128.jpg,lcc,394661,174670,27047,0.661763177045431,0.7964590697237949,0.6932013187407676,0.9358632039230937,train
GPAB5443_jpg.rf.32c02690be0eb7a25e3c884163f2a83f.jpg,lcc,189186,174408,8109,0.5089708719057957,0.6745933687414087,0.5203221175266919,0.9588991104690945,train
GPAB5501_jpg.rf.b589a7631d40c0e686a0a60ee8a45f5f.jpg,lcc,154951,182061,9933,0.44661545778149275,0.6174625818894751,0.45977888027726016,0.9397576478008782,train
GPAB5545_jpg.rf.8c6a419671b63b24065f36515b5b7271.jpg,lcc,303746,145054,15473,0.6542400699588389,0.790985639678185,0.6767959001782531,0.9515285744269608,train
GPAB5552_jpg.rf.0aa5c6e322bdc54366f9d200985db4aa.jpg,lcc,562634,58751,16418,0.8821438594675786,0.937381970065901,0.9054515316591163,0.9716467605672721,train
GPAB5569_jpg.rf.8e265edd8d3471a629aa34b39cc85f3b.jpg,lcc,620168,70678,29693,0.8607001147751892,0.9251357679194634,0.8976935525428243,0.9543086906276881,train
GPAB5573_jpg.rf.52eca794ae531745404865e3c713eb5e.jpg,lcc,259083,160421,2862,0.6134087497573195,0.760388525040025,0.6175936343872764,0.9890740422607799,train
GPAB5585_jpg.rf.05d053942efba9dcd4f589dfea18c2e5.jpg,lcc,205962,118424,134150,0.44917302022087685,0.6199025429722889,0.6349287577145746,0.6055711059886155,train
GPAB5646_jpg.rf.89c32cce97796de1fa893918a8ad607b.jpg,lcc,262530,126162,64596,0.5791682109387409,0.7335104733326069,0.6754190978975642,0.8025348031033913,train
GPAB5669_jpg.rf.c3ae775301186fb9b1b6950c2f4bc406.jpg,lcc,129575,161248,20155,0.4166693463846317,0.5882379645581803,0.4455459162445886,0.8653910372002939,train
