image,accuracy,coral_cover,coral_cover_pred,pct_bleached_true,pct_bleached_pred,cover_true__branching_acropora,cover_pred__branching_acropora,cover_true__finger_acropora,cover_pred__finger_acropora,cover_true__finger_porites,cover_pred__finger_porites,cover_true__knob_porites,cover_pred__knob_porites,cover_true__mounding_,cover_pred__mounding_,cover_true__oddball,cover_pred__oddball,cover_true__pocillopora_,cover_pred__pocillopora_,cover_true__table_acropora,cover_pred__table_acropora,cover_healthy_true__branching_acropora,cover_healthy_pred__branching_acropora,cover_healthy_true__finger_acropora,cover_healthy_pred__finger_acropora,cover_healthy_true__finger_porites,cover_healthy_pred__finger_porites,cover_healthy_true__knob_porites,cover_healthy_pred__knob_porites,cover_healthy_true__mounding_,cover_healthy_pred__mounding_,cover_healthy_true__oddball,cover_healthy_pred__oddball,cover_healthy_true__pocillopora_,cover_healthy_pred__pocillopora_,cover_healthy_true__table_acropora,cover_healthy_pred__table_acropora,image_id,filename,DateTimeUTC,DateTimeLocal,latPhoto,lonPhoto,NorthPhoto_UTM,EastPhoto_UTM,Depth_WaterSurface,HoboTempPhoto,photo_tide,accuracy_cropped,tp_lcc,fp_lcc,fn_lcc,tn_lcc,iou_lcc,specificity_lcc,balanced_acc_lcc
data/train\GPAB2750_jpg.rf.cdad5a44fc68268026febd47efc11e6c.jpg,0.8729181289672852,0.2854291053016671,0.1817761074506023,0.0569275795384494,0.0131720703713874,0.0,0.0,0.0107005067953595,0.0029017347034795,0.0373365493746195,0.0816902652657939,0.2201487163040618,0.0818006886578852,0.0160987703635138,0.0058082704240066,0.0011445624641123,0.0,0.0,0.0,0.0,0.0095751483994369,0.0,0.0,0.0001181050193673,0.0029017347034795,0.0373365493746195,0.0816902652657939,0.1767436813814638,0.0818006886578852,0.0131931948463962,0.002211348452056,0.0011445624641123,0.0,0.0,0.0,0.0,0.0,GPAB2750,,,,,,,,,,,0.8720480946683745,0.16962665371032193,0.01214945374028037,0.11580245159134517,0.7024214409580525,0.5700231033325587,0.9829975530343851,0.7886420085135324
data/train\GPAB2751_jpg.rf.5c54bc040bd61f476b2936c0f427baaf.jpg,0.933781623840332,0.1319146648025917,0.0750754239778154,0.0536609675393635,0.0538155602882914,0.0521140798466747,0.0518913126556729,0.0041307950676271,0.0,0.0,0.0,0.0699056888211198,0.0165779118648494,0.0050132220009486,0.0031869151160981,0.0007508790662213,0.0,0.0,0.0034192843411948,0.0,0.0,0.0,0.0,0.003106258029701,0.0,0.0,0.0,0.0699056888211198,0.0165779118648494,0.0044908713461859,0.0012626674834797,0.0007508790662213,0.0,0.0,0.0034192843411948,0.0,0.0,GPAB2751,,,,,,,,,,,0.9333282762620434,0.07015918252122522,0.004916241456590184,0.061755482281366486,0.8631690937408181,0.5127436807904447,0.9943366841285572,0.763094737079637
data/train\GPAB2752_jpg.rf.3d3a23e7d01325a3e36b5203981b2c6b.jpg,0.9109344482421876,0.2142482663527441,0.1909230051294066,0.0180691077597878,0.034574044165516,0.0035892403446746,0.0,0.0034240853582422,0.1831799248352771,0.051094343825796,0.0,0.1465308811018526,0.0,0.0049402465418274,0.0,0.0,0.0015824152188399,0.0047395640292439,0.0061606650752895,0.0,0.0,0.0,0.0,0.0034240853582422,0.1547665457450506,0.0413540404399267,0.0,0.1465308811018526,0.0,0.0049402465418274,0.0,0.0,0.0015824152188399,0.0,0.0,0.0,0.0,GPAB2752,GPAB2752.JPG,2024-10-03 23:18:30.215,2024-10-04 11:18:30.215,,,,,,29.90585594238281,-0.6659928333333334,0.9103246831808851,0.1577479773315179,0.033175027797888695,0.0565002890212262,0.7525767058493672,0.6375631602232245,0.9577792496315614,0.847032574154277
data/train\GPAB2753_jpg.rf.ecc3e09a60fddd4051f8cc1817f5abe0.jpg,0.8943386077880859,0.1882459580237477,0.2058484069265233,0.102934765700766,0.0186471502123009,0.0025800665613003,0.0022939259452722,0.1472356704044184,0.1718898531464905,0.0,0.0,0.0292180295473793,0.0239436322190492,0.0088847621480134,0.0021719801122669,0.0007201525571176,0.0,0.0,0.001668833525694,0.0,0.0038801819777501,0.0025800665613003,0.0022939259452722,0.0543599956214724,0.1549115364598836,0.0,0.0,0.0292180295473793,0.0239436322190492,0.0,0.0021719801122669,0.0,0.0,0.0,0.0,0.0,0.0038801819777501,GPAB2753,GPAB2753.JPG,2024-10-03 23:18:32.217,2024-10-04 11:18:32.217,,,,,,29.931621916992185,-0.6659261000000001,0.8936152234489354,0.14385479419960312,0.061993612726920166,0.04439116382414457,0.7497604292493322,0.5748682902870557,0.9236300535369139,0.8439076775478577
data/train\GPAB2755_jpg.rf.989ddbf0acb4906444222985aa1c08ad.jpg,0.8915996551513672,0.3503638210718559,0.325484950731963,0.0961144408831566,0.0774903355526834,0.0777995210505393,0.0511846029462881,0.244938287726872,0.2517768564092617,0.0,0.0,0.0,0.0,0.0118623529208427,0.009463764803936,0.0003591160751493,0.0,0.0071189480779608,0.0042354572392615,0.0086379898717744,0.0088242693332155,0.0777995210505393,0.0511846029462881,0.1598364197471592,0.1873462474290553,0.0,0.0,0.0,0.0,0.0095569045346566,0.009463764803936,0.0003591160751493,0.0,0.0071189480779608,0.0,0.0,0.0,GPAB2755,GPAB2755.JPG,2024-10-03 23:18:36.221,2024-10-04 11:18:36.221,,,,,,29.98315386621093,-0.6657926333333334,0.8908575192568794,0.2833531455303492,0.0421318052016138,0.06701067554150669,0.6075043737265304,0.721926886728985,0.9351455375051181,0.8719426387115873
data/train\GPAB2756_jpg.rf.e3eab669406113c45048b693e012a15e.jpg,0.8838796615600586,0.2503154268200175,0.1557958838000242,0.0407039827317018,0.0253349669594006,0.0141245921536018,0.0095069739573631,0.1841890986186513,0.1157035506401676,0.0183379647144451,0.0040943073380664,0.0,0.0,0.0337290651651645,0.0241251106634429,0.0001613141727943,0.0,0.0,0.002365941200984,0.0,0.0,0.0141245921536018,0.0095069739573631,0.1435542505324328,0.0927345248817509,0.0183379647144451,0.0040943073380664,0.0,0.0,0.0337290651651645,0.0241251106634429,0.0001613141727943,0.0,0.0,0.0,0.0,0.0,GPAB2756,GPAB2756.JPG,2024-10-03 23:18:38.223,2024-10-04 11:18:38.223,,,,,,30.00891984082031,-0.6657259000000001,0.8830846726570557,0.1445979916385487,0.011197892161475514,0.10571743518146881,0.738486681018507,0.5529278286922806,0.9850631951595633,0.7813631599718949
data/train\GPAB2863_jpg.rf.96811bd1325e7bbd6bdfefe68952512f.jpg,0.7216730117797852,0.4471244788495995,0.192604321299424,0.0129617858247091,0.0034192843411948,0.0617103527211204,0.0,0.0005549975706853,0.0024331554396483,0.1597692055084949,0.0753702064245289,0.1687557492179143,0.0906134355501869,0.0551271981456551,0.0034192843411948,0.0017302865439014,0.0037928034674865,0.0,0.0,0.0,0.0169754360763784,0.0617103527211204,0.0,0.0005549975706853,0.0024331554396483,0.1597692055084949,0.0753702064245289,0.1687557492179143,0.0906134355501869,0.0422134224914205,0.0,0.0017302865439014,0.0037928034674865,0.0,0.0,0.0,0.0169754360763784,GPAB2863,GPAB2863.JPG,2024-10-03 23:22:12.437,2024-10-04 11:22:12.437,,,,,,31.26919603613281,-0.6602072833333335,0.7197675155504942,0.17974815784975884,0.01285616344966517,0.26737632099984066,0.5400193577007353,0.3907733093968206,0.976746730578857,0.6893779695466483
data/train\GPAB2864_jpg.rf.bba294c9d2767e1fca67088d5f57ed2c.jpg,0.7331705093383789,0.3696187800423641,0.118027242891134,0.0041480787289979,0.0160392377521254,0.0008027300503338,0.0,0.0008997105946923,0.0,0.0664537575640023,0.0,0.2736810165865537,0.0916283705540181,0.0274186083579945,0.0195718260956401,0.0006183709957117,0.0068270462414757,0.0,0.0,0.0,0.0,0.0008027300503338,0.0,0.0008997105946923,0.0,0.0664537575640023,0.0,0.2736810165865537,0.0916283705540181,0.0238889006247083,0.0035325883435146,0.0,0.0068270462414757,0.0,0.0,0.0,0.0,GPAB2864,GPAB2864.JPG,2024-10-03 23:22:14.439,2024-10-04 11:22:14.439,,,,,,31.271611328125,-0.66024065,0.7313437278553089,0.1094948753944035,0.008532367496730503,0.2601239046479606,0.6218488524609055,0.28955320143008034,0.9864647498583414,0.6413510329987819
data/train\GPAB2865_jpg.rf.bc51b557fce1c755711f160a6fb06174.jpg,0.922673225402832,0.2122452820405474,0.1486942193834342,0.0146334999606316,0.0228720452140581,0.0067310259005267,0.0,0.1505771782694446,0.1233880585263182,0.0016064203040772,0.0,0.0137481924170816,0.0,0.024209608563478,0.010552635470298,0.0008180933048857,0.0,0.0146334999606316,0.0147535253868179,0.0,0.0,0.0067310259005267,0.0,0.1505771782694446,0.115269538699078,0.0016064203040772,0.0,0.0137481924170816,0.0,0.024209608563478,0.010552635470298,0.0008180933048857,0.0,0.0,0.0,0.0,0.0,GPAB2865,GPAB2865.JPG,2024-10-03 23:22:16.441,2024-10-04 11:22:16.441,,,,,,31.271611328125,-0.6602740166666667,0.9221438269483008,0.14154166418614123,0.007152555197292965,0.07070361785440618,0.7806021627621597,0.6451370075845443,0.9909203270583762,0.8288990574950409
data/train\GPAB2866_jpg.rf.419a33f7e1a92b4b4cd4c79fef598c57.jpg,0.5870075225830078,0.6351006197152805,0.2453118068531637,0.0027029725977151,0.0096865319949378,0.5292554774803494,0.1655141025074752,0.1062321042089556,0.0623527288020694,0.0,0.0,0.0,0.0,0.0,0.0059446193081542,0.0,0.0025503002556061,0.0,0.0077882098543755,0.0,0.0011618461254832,0.5292554774803494,0.1610126689237848,0.1036117091044566,0.059433710437219,0.0,0.0,0.0,0.0,0.0,0.0036785392617572,0.0,0.0025503002556061,0.0,0.0077882098543755,0.0,0.0011618461254832,GPAB2866,GPAB2866.JPG,2024-10-03 23:22:18.443,2024-10-04 11:22:18.443,,,,,,31.271611328125,-0.6603073833333335,0.5841800727066022,0.23229624963752327,0.013015557215640433,0.40280437007775727,0.35188382306907906,0.35841760768499137,0.964331106275147,0.6650470072146165
