image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall
GPAB2949_jpg.rf.7fbf6a8deca8c7aae18c53062828ddff.jpg,lcc,3502,437,126,0.86150061500615,0.9255979912779173,0.889058136582889,0.9652701212789415
GPAB2950_jpg.rf.502dd1ed83690517b5d11f810ee8abd0.jpg,lcc,203642,6485,24772,0.8669342994223049,0.9287250222898201,0.969137711955151,0.8915478035496949
GPAB2951_jpg.rf.42d2aa39a63a8cd50185c4c34c3d023a.jpg,lcc,131280,43221,7004,0.7232858598936669,0.8394264430839075,0.7523166056354977,0.9493506117844436
GPAB2952_jpg.rf.d5edd999c3d70eee6ea6ae39f932ee17.jpg,lcc,145465,12752,28550,0.7788581494589515,0.8756832574827229,0.9194018341897521,0.8359336838778266
GPAB2953_jpg.rf.e9d7fd4bca495dd962d44280979b6764.jpg,lcc,237123,33695,49641,0.7399480120701868,0.8505403689502172,0.8755806482582399,0.8268924969661464
GPAB2985_jpg.rf.1aa4eb008b359be4a92a854650b08c4f.jpg,lcc,216554,21321,137541,0.5768374283461547,0.7316384276230214,0.9103688912243826,0.611570341292591
GPAB2986_jpg.rf.8384c7104ca8ce5717f2a1895ec3f4e6.jpg,lcc,157927,13420,76768,0.6365072647764142,0.777885046374513,0.9216793991140785,0.672903129593728
GPAB2987_jpg.rf.8edaf56f6842917821771008f1c445b3.jpg,lcc,271495,18148,26188,0.8596211264885334,0.924512110820907,0.9373435574137818,0.912027223590195
GPAB2988_jpg.rf.83afaab24b357370faadb37c4a8f2e80.jpg,lcc,162805,4963,18637,0.8733939540248384,0.9324188883479855,0.9704174812836774,0.8972839805557699
GPAB2989_jpg.rf.8c0306c24da4ca0fa0a6db116a0c7028.jpg,lcc,528633,10474,218230,0.69801554657966,0.822154482608459,0.9805715748450679,0.7078045103318815
GPAB2990_jpg.rf.26380753fc33e784adf7e3cfce47a36f.jpg,lcc,203079,3291,705936,0.22259965406343923,0.3641415296063691,0.9840529146678296,0.22340555436378937
GPAB2991_jpg.rf.349d021fabfa3966b9f88f23b1096169.jpg,lcc,344096,14282,83826,0.7781385966657922,0.8752282843698334,0.9601482233842479,0.8041091600805754
GPAB2992_jpg.rf.e4effd5df06ee1d3cc045935c76638eb.jpg,lcc,108440,5013,4191,0.9217639658631125,0.9592894676314998,0.9558143019576388,0.9627899956495104
GPAB2994_jpg.rf.399149a84f76c2e820ddc039f29be960.jpg,lcc,49644,3726,13053,0.7473917167246286,0.855436945901936,0.9301854974704891,0.7918082204890187
GPAB2995_jpg.rf.77053a52828cd1b35e1a6b481dda0977.jpg,lcc,591571,25785,277750,0.6608949107703446,0.7958298944558906,0.9582331750238112,0.6804977677980861
GPAB2996_jpg.rf.71234c52d0bc86b7485ea41a885640db.jpg,lcc,361912,37714,19362,0.8637765282060584,0.9269099756690997,0.9056267610215551,0.9492176230217638
GPAB3022_jpg.rf.4a7028ccc8d0c43d90f9f26c5b803a76.jpg,lcc,155324,27501,118583,0.5153280603036415,0.6801537882171602,0.8495774647887324,0.5670683845246745
GPAB3023_jpg.rf.2d06d6161234dba9738fbea660799947.jpg,lcc,200781,13385,99590,0.6399272045793547,0.7804336714366508,0.9375017509782132,0.6684433583801366
GPAB3024_jpg.rf.962d5da92455184bd060dd0c24c8dab4.jpg,lcc,242039,43740,74338,0.6721121191168425,0.8039079574063864,0.846944667032917,0.7650334885279271
GPAB3025_jpg.rf.0e7dd03ddf2d70bda47a0516e862f4c9.jpg,lcc,52433,17212,71498,0.3714884903962648,0.5417303797991486,0.752860937612176,0.42308219896555344
GPAB3026_jpg.rf.0132f1051a4116579dca9e90f5fe8dac.jpg,lcc,107982,29573,20601,0.6827562659652495,0.8114737467028383,0.7850096325106322,0.8397844194022538
GPAB3027_jpg.rf.747b37a57bb87ebb8bad757bc73c82cb.jpg,lcc,133906,14686,55322,0.656678795963004,0.792765378011959,0.9011656078389146,0.7076436890946372
GPAB3028_jpg.rf.bab6e79b28a15e973dd2a4273d4b3f69.jpg,lcc,161423,6871,159061,0.4931129813199737,0.6605166353641121,0.9591726383590621,0.5036850513598182
GPAB3029_jpg.rf.9be364b3f26fd5581081ef77d347a1a7.jpg,lcc,340218,13726,47832,0.8467852733861654,0.9170370649897438,0.9612198539882015,0.8767375338229609
GPAB3030_jpg.rf.adc799d4514f57aa03abab83f2ad6e6e.jpg,lcc,460775,38267,48196,0.8420011037245221,0.9142243205196758,0.9233190793560462,0.905306982126683
GPAB3031_jpg.rf.ab0edf94425b881b01d5ae81bd81b21d.jpg,lcc,154766,79106,31479,0.583250110231354,0.7367757077195163,0.6617551481152083,0.8309806974683884
GPAB3032_jpg.rf.1d597c1e44f74b2246f4f867092f84fd.jpg,lcc,375998,18303,135043,0.7103093640430419,0.8306209145273278,0.9535811473975465,0.7357491864644911
GPAB3033_jpg.rf.50b9b3afcefbc3350536ce8c5bc36581.jpg,lcc,161995,75485,36200,0.5919139140602163,0.7436506570264532,0.6821416540340239,0.817351598173516
GPAB3035_jpg.rf.d5c32d9742ccdb6a97e4a8d5755c24d6.jpg,lcc,187145,49131,322883,0.3346901328602419,0.5015248477832089,0.7920609795324113,0.3669308351698338
GPAB3036_jpg.rf.73115f2d96e2a173cce8abbe17c95bd0.jpg,lcc,243849,23015,171035,0.5568612853648901,0.7153640348046493,0.913757569398645,0.5877522391801082
GPAB3065_jpg.rf.623b37a3e1def7e946fbe7642cf75b09.jpg,lcc,119725,25930,189988,0.35670340212666435,0.5258384427539924,0.8219765885139542,0.38656756416424237
GPAB3066_jpg.rf.c7ab7f595d1fabcf9345d55074498965.jpg,lcc,504250,56763,79290,0.7875177845488777,0.8811300132016604,0.8988205264405638,0.8641224251979299
GPAB3067_jpg.rf.787b1d28ce4fe02d8dcdc53034e25912.jpg,lcc,191778,11143,460733,0.28897286839226466,0.4483769604129843,0.9450870043021669,0.29390768891252406
GPAB3068_jpg.rf.7d5b5b389e42fbf25daa11b1aab52fd6.jpg,lcc,517501,7488,249885,0.6678518055838756,0.8008526936841087,0.985736844010065,0.6743685707062678
GPAB3069_jpg.rf.b4e787e9b2ba7d152d6ea99e92e0ca40.jpg,lcc,394724,27003,124234,0.7229893710356601,0.8392267337100092,0.9359704263658718,0.7606087583195558
GPAB3070_jpg.rf.9cd39d8ce8d5b63ee10a306d3f11ec2a.jpg,lcc,192258,14671,98718,0.6290197515434471,0.7722678020907603,0.9291012859483204,0.6607349059716265
GPAB3072_jpg.rf.0ac2243c6b202e76c28f399d6eb11d70.jpg,lcc,241891,7943,129221,0.6381422221049716,0.7791047852792352,0.9682068893745447,0.6518005346094979
GPAB3074_jpg.rf.38770129f002645fcdacee0bd4225300.jpg,lcc,133701,86211,164886,0.3474576271186441,0.5157232704402516,0.6079750081850922,0.4477790392749852
GPAB3075_jpg.rf.3f2d5382731b43b7f93907122f078970.jpg,lcc,489679,24129,139778,0.749218924517967,0.8566325392625507,0.9530388783358764,0.7779387630926338
GPAB3076_jpg.rf.6688d0a1b6f765cccf799dc184aea270.jpg,lcc,304629,18628,295649,0.49220560149683473,0.6597021228215498,0.942374024383076,0.5074798676613169
GPAB3077_jpg.rf.e6dd2d28fb69105d93898db9cb337457.jpg,lcc,384222,28830,226102,0.6011415089321196,0.7508911680555338,0.9302024926643618,0.6295377537176975
GPAB3078_jpg.rf.cd093ba40852e610c6dba2034d50c1dc.jpg,lcc,445750,15961,154169,0.7237611222965513,0.8397464276631218,0.9654307564688734,0.743016973958151
GPAB3079_jpg.rf.a4a8223fb26f718eff035a84cb461caa.jpg,lcc,263749,12916,163270,0.5995181106299794,0.7496234105081258,0.9533153814179604,0.6176516735789274
GPAB3080_jpg.rf.78f928f2c19bd787656114709b49bc5b.jpg,lcc,250635,3000,60567,0.7976874749365058,0.8874595679815592,0.9881719794192442,0.8053772147993907
GPAB3090_jpg.rf.125d5f6ed38bdc5cbae2b664e2362386.jpg,lcc,553906,30850,72055,0.8433263145714673,0.9150049103134754,0.9472429526161339,0.8848889946817773
GPAB3091_jpg.rf.2419e7ae9b651b8df0f426db91599eee.jpg,lcc,327105,20648,374876,0.45265966353412335,0.6232150239965554,0.9406245237280484,0.46597415029751516
GPAB3092_jpg.rf.3bad61d847234ef79c48d0ea084de422.jpg,lcc,660059,10709,206909,0.7520522925859969,0.8584815599036506,0.9840347184123274,0.7613418257651955
GPAB3093_jpg.rf.285d85f2bda7ab2fe223676c69049377.jpg,lcc,294408,11226,503295,0.3639478866501263,0.533668317114354,0.963269793282161,0.3690696913512924
GPAB3095_jpg.rf.c30fe8fea9a0ca71fd70d7ad21b1c91c.jpg,lcc,192391,4,775585,0.19875513956899937,0.3316025650416979,0.9999792094389147,0.19875596089159236
GPAB3096_jpg.rf.a6470fed9e9e1c7e6665b90f39689d33.jpg,lcc,120783,73550,273587,0.2581274576850744,0.4103359418926012,0.6215259374372855,0.30626822527068487
GPAB3097_jpg.rf.1d99e8ef816fb9dcb878d24c738e0e5f.jpg,lcc,619771,408451,196,0.6026450334397103,0.7520630218985808,0.6027599098249211,0.9996838541406237
GPAB3098_jpg.rf.64f8658b6d719daf7a6ca2fc4cd9cecf.jpg,lcc,0,46018,0,0.0,0.0,0.0,
GPAB3099_jpg.rf.fd9c504343c7c4aa14009c61fb4860e5.jpg,lcc,840832,176658,9994,0.8183407235538461,0.9000961293485684,0.8263786376278882,0.9882537675153321
GPAB3100_jpg.rf.e7ec1e1b776eaf06f12dc677181b3f99.jpg,lcc,89614,16645,221513,0.27340346338308336,0.42940587369964495,0.8433544452705183,0.2880302898816239
GPAB3101_jpg.rf.b62e7eeebc3c25bf04dbff6c796cb5d3.jpg,lcc,309517,52218,93854,0.6793776847114394,0.809082663055838,0.8556457074930544,0.7673258613038617
GPAB3102_jpg.rf.474b567b589316cba823bc1f8cfcd7ea.jpg,lcc,390867,42754,134695,0.6877634977723661,0.8149998488296811,0.9014023767299093,0.7437124449636769
GPAB3103_jpg.rf.57b80bcdb3fdddfed29907c8e94f6a12.jpg,lcc,106059,30423,209476,0.3065661149619318,0.46926996108553437,0.7770914845913747,0.3361243602136055
GPAB3104_jpg.rf.e80e02c3e101d1c16303a7ca427c6a49.jpg,lcc,405305,49757,76679,0.7622225858077523,0.8650695910339514,0.8906588552768634,0.8409096567520914
