image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall
GPAB2949_jpg.rf.7fbf6a8deca8c7aae18c53062828ddff.jpg,lcc,0,0,3628,0.0,0.0,,0.0
GPAB2950_jpg.rf.502dd1ed83690517b5d11f810ee8abd0.jpg,lcc,203557,6324,24857,0.8671667987287955,0.9288584172760356,0.969868639848295,0.8911756722442582
GPAB2951_jpg.rf.42d2aa39a63a8cd50185c4c34c3d023a.jpg,lcc,131311,40841,6973,0.7330690858339148,0.8459779149325465,0.7627619777870719,0.9495747881172081
GPAB2952_jpg.rf.d5edd999c3d70eee6ea6ae39f932ee17.jpg,lcc,143093,9500,30922,0.7797346265972809,0.8762369568412286,0.9377428846670555,0.822302675056748
GPAB2953_jpg.rf.e9d7fd4bca495dd962d44280979b6764.jpg,lcc,230459,86695,56305,0.6170931748866676,0.763212886517706,0.7266469916822742,0.8036538756608221
GPAB2985_jpg.rf.1aa4eb008b359be4a92a854650b08c4f.jpg,lcc,223688,30413,130407,0.5817512249420038,0.7355786621418096,0.8803113722496173,0.6317174769482766
GPAB2986_jpg.rf.8384c7104ca8ce5717f2a1895ec3f4e6.jpg,lcc,154901,17936,79794,0.613151196804826,0.7601906107986612,0.8962259238473244,0.6600097999531307
GPAB2987_jpg.rf.8edaf56f6842917821771008f1c445b3.jpg,lcc,262799,19414,34884,0.8287653304824707,0.9063659690703161,0.9312079882925308,0.8828149407255369
GPAB2988_jpg.rf.83afaab24b357370faadb37c4a8f2e80.jpg,lcc,146087,9991,35355,0.7631233904290274,0.8656494429959706,0.9359871346378092,0.8051443436470056
GPAB2989_jpg.rf.8c0306c24da4ca0fa0a6db116a0c7028.jpg,lcc,520078,11860,226785,0.6854649193447411,0.8133837868440829,0.977704168530919,0.696349932986371
GPAB2990_jpg.rf.26380753fc33e784adf7e3cfce47a36f.jpg,lcc,474038,3833,434977,0.5192956549173575,0.6836005266474677,0.9919790068867959,0.5214853440262261
GPAB2991_jpg.rf.349d021fabfa3966b9f88f23b1096169.jpg,lcc,287104,13640,140818,0.650200877792926,0.7880263385419383,0.9546458117202671,0.6709260098803053
GPAB2992_jpg.rf.e4effd5df06ee1d3cc045935c76638eb.jpg,lcc,108448,1673,4183,0.9487681970884658,0.973710673753771,0.9848076207081301,0.9628610240519928
GPAB2994_jpg.rf.399149a84f76c2e820ddc039f29be960.jpg,lcc,49644,57416,13053,0.4133107989976106,0.5848830976042225,0.4637025966747618,0.7918082204890187
GPAB2995_jpg.rf.77053a52828cd1b35e1a6b481dda0977.jpg,lcc,435653,17077,433668,0.4914868941491294,0.6590562693874896,0.9622799461047423,0.5011416956452219
GPAB2996_jpg.rf.71234c52d0bc86b7485ea41a885640db.jpg,lcc,350544,54958,30730,0.8035724110106549,0.8910897129551486,0.8644692257991329,0.9194017950345421
GPAB3022_jpg.rf.4a7028ccc8d0c43d90f9f26c5b803a76.jpg,lcc,169193,31116,104714,0.5546893185104074,0.7135693439276617,0.8446600002995373,0.6177023588298218
GPAB3023_jpg.rf.2d06d6161234dba9738fbea660799947.jpg,lcc,183207,28578,117164,0.556946517545273,0.7154343598434851,0.8650612649621078,0.6099357128351273
GPAB3024_jpg.rf.962d5da92455184bd060dd0c24c8dab4.jpg,lcc,240751,38190,75626,0.67900001974239,0.8088147847033015,0.8630893271336949,0.7609623961286692
GPAB3025_jpg.rf.0e7dd03ddf2d70bda47a0516e862f4c9.jpg,lcc,45316,18453,78615,0.318266097314305,0.48285562067128396,0.71062742084712,0.3656550822635176
GPAB3026_jpg.rf.0132f1051a4116579dca9e90f5fe8dac.jpg,lcc,60499,14986,68084,0.4213931976958814,0.5929298077111551,0.8014704908259919,0.47050543228887176
GPAB3027_jpg.rf.747b37a57bb87ebb8bad757bc73c82cb.jpg,lcc,144873,9924,44355,0.7274493853940709,0.8422236756049706,0.9358902304308223,0.7656002282960238
GPAB3028_jpg.rf.bab6e79b28a15e973dd2a4273d4b3f69.jpg,lcc,161626,7155,158858,0.4933051315624819,0.6606889926726824,0.9576077876064248,0.504318468316671
GPAB3029_jpg.rf.9be364b3f26fd5581081ef77d347a1a7.jpg,lcc,333704,25103,54346,0.8077007791302495,0.8936222061251351,0.930037596813886,0.8599510372374694
GPAB3030_jpg.rf.adc799d4514f57aa03abab83f2ad6e6e.jpg,lcc,420381,28116,88590,0.7827055951829033,0.878109764503879,0.9373106174623241,0.8259429319155708
GPAB3031_jpg.rf.ab0edf94425b881b01d5ae81bd81b21d.jpg,lcc,172030,100918,14215,0.5990674286032671,0.7492710036956138,0.6302665709219338,0.9236758033772718
GPAB3032_jpg.rf.1d597c1e44f74b2246f4f867092f84fd.jpg,lcc,339611,24612,171430,0.6340130644279038,0.7760195780930097,0.9324260137333447,0.6645474629237185
